semipartial Spearman r,model,cluster,hemisphere
0.19263609738157225,motion,1,lh
0.08405161689065029,gaze,1,lh
0.0016883490325288251,nonverbs,1,lh
0.07083454341913327,verbs,1,lh
0.11927446395132564,scene,1,lh
0.10325116485343491,person,1,lh
0.024322231664195233,object,1,lh
0.09185216088516765,sociality,1,lh
0.10944297628587663,transitivity,1,lh
0.22877836989163472,motion,1,rh
0.06442523195882499,gaze,1,rh
0.011213457428840012,nonverbs,1,rh
0.0619453350196587,verbs,1,rh
0.10143913106919182,scene,1,rh
0.09083767853169741,person,1,rh
0.010547978103977982,object,1,rh
0.09754497239947253,sociality,1,rh
0.12413754667937692,transitivity,1,rh
0.11880200262582016,motion,2,lh
0.07420191265997618,gaze,2,lh
-0.023300321734173037,nonverbs,2,lh
0.07410633301334045,verbs,2,lh
0.08605970690211821,scene,2,lh
0.11600970346917992,person,2,lh
0.02199599273979552,object,2,lh
0.041078975420247806,sociality,2,lh
0.2358492528830966,transitivity,2,lh
0.1096974455905393,motion,2,rh
0.07923661649622363,gaze,2,rh
-0.012012198849464254,nonverbs,2,rh
0.06628385695597361,verbs,2,rh
0.07371531297854148,scene,2,rh
0.10488828289013846,person,2,rh
0.02134170581356682,object,2,rh
0.04098157991021014,sociality,2,rh
0.24132227204347081,transitivity,2,rh
0.10294379885305922,motion,3,lh
0.07726276655150466,gaze,3,lh
0.012276348656893322,nonverbs,3,lh
0.09535451349020364,verbs,3,lh
0.09284596378251314,scene,3,lh
0.06328654951342078,person,3,lh
0.006125238402211537,object,3,lh
0.03802897127309196,sociality,3,lh
0.16204550468598727,transitivity,3,lh
0.1392934881685931,motion,3,rh
0.07763741677676969,gaze,3,rh
0.021080733066429633,nonverbs,3,rh
0.0722659310785836,verbs,3,rh
0.12377402628789198,scene,3,rh
0.0825767581983194,person,3,rh
0.005915920978125443,object,3,rh
0.02501129941425412,sociality,3,rh
0.16631838170805494,transitivity,3,rh
0.19926489547459728,motion,4,lh
0.12690597810819035,gaze,4,lh
-0.006406377147368519,nonverbs,4,lh
0.051080164271371305,verbs,4,lh
0.07565089857417,scene,4,lh
0.11239924632199143,person,4,lh
0.0026003064731998063,object,4,lh
0.2011074360519806,sociality,4,lh
0.06890090915379182,transitivity,4,lh
0.2652686962534419,motion,4,rh
0.12011906427006372,gaze,4,rh
-0.012713489703761646,nonverbs,4,rh
0.03592312525639707,verbs,4,rh
0.0644107261635683,scene,4,rh
0.12631538649428772,person,4,rh
-0.015259889878819736,object,4,rh
0.081322415556727,sociality,4,rh
0.14661194300748995,transitivity,4,rh
