upper,lower,model,cluster,hemisphere
0.20374479832279338,0.1640583605229679,motion,1,lh
0.09583765519026861,0.06390847042712335,gaze,1,lh
0.010896497476511164,-0.009354612365518614,nonverb,1,lh
0.08522501400916173,0.04972684526271107,verb,1,lh
0.13055544041105088,0.09953598117642941,scene,1,lh
0.034902572688011994,0.01168217618744352,object,1,lh
0.11947608185759949,0.07813029264979467,person,1,lh
0.12434380313174279,0.05273978979087966,sociality,1,lh
0.12832892805650825,0.07775830175858905,transitivity,1,lh
0.24145336498404807,0.19974338968580888,motion,1,rh
0.07086280456160128,0.049690166156901125,gaze,1,rh
0.01979338677842856,0.0024095309756650037,nonverb,1,rh
0.0713454066886114,0.04936367976533579,verb,1,rh
0.10981038375574075,0.08594052422478826,scene,1,rh
0.021383735207325023,-0.0032757580841115204,object,1,rh
0.10039647792626116,0.07466726510214078,person,1,rh
0.12696315805538688,0.06288481114184968,sociality,1,rh
0.14388119925643816,0.0940039569222011,transitivity,1,rh
0.13088223857265846,0.09830231658091163,motion,2,lh
0.08127479196591049,0.059590440145184304,gaze,2,lh
-0.011037221545523467,-0.03281737476302112,nonverb,2,lh
0.08286095280100592,0.06271937470851038,verb,2,lh
0.0982136899304234,0.06723176414685335,scene,2,lh
0.03575787304587141,0.009510779854791417,object,2,lh
0.12604424201141506,0.09483529571021891,person,2,lh
0.06886570404079034,0.010265575550217043,sociality,2,lh
0.2396211647613847,0.21374808200799972,transitivity,2,lh
0.12426051445620119,0.0890991242917709,motion,2,rh
0.08703285485314985,0.06579190154958581,gaze,2,rh
-0.004623008924417211,-0.018226507013401387,nonverb,2,rh
0.07411940567436107,0.05717654176636136,verb,2,rh
0.08946002133246422,0.05398791322243027,scene,2,rh
0.03490213206744139,0.00928012418267206,object,2,rh
0.1197571910458882,0.08393737171932415,person,2,rh
0.06828505599915283,0.015653347984416296,sociality,2,rh
0.2478692589866087,0.21868098065834082,transitivity,2,rh
0.11277780942775123,0.06980437993916813,motion,3,lh
0.08361288143707304,0.05441207838557455,gaze,3,lh
0.0220739368815412,-0.0001836796004927225,nonverb,3,lh
0.10282412919556719,0.071483859007435,verb,3,lh
0.10230231641158717,0.06681224908009144,scene,3,lh
0.018581800899100623,-0.006024365581505664,object,3,lh
0.07311548164072607,0.04018248200442799,person,3,lh
0.05917924409208348,0.01606925134030995,sociality,3,lh
0.1661935630989262,0.12094582785342259,transitivity,3,lh
0.14826827219492178,0.10680167114399118,motion,3,rh
0.07925136857711905,0.058089668611794466,gaze,3,rh
0.030330051570987848,0.011384711675189086,nonverb,3,rh
0.0784995979639533,0.056869062769849425,verb,3,rh
0.1300069848987866,0.09873361882763831,scene,3,rh
0.02212107032833418,-0.008796208503515352,object,3,rh
0.09373596317255593,0.05928640047840391,person,3,rh
0.040563315926258704,0.00864365063982701,sociality,3,rh
0.17402909007024717,0.12686764648069987,transitivity,3,rh
0.2119982828528323,0.17670514421942307,motion,4,lh
0.13560924384230044,0.10864100081810583,gaze,4,lh
0.0022536071479641708,-0.012806338877960535,nonverb,4,lh
0.058847242583239784,0.0398560238180647,verb,4,lh
0.08803007301199382,0.057815374122172726,scene,4,lh
0.009880135967133443,-0.006977419685262949,object,4,lh
0.12315359738365261,0.09579891691175131,person,4,lh
0.2129119419849317,0.17681852574147808,sociality,4,lh
0.0793448682255254,0.05293763218958785,transitivity,4,lh
0.27637507159264846,0.241526050232075,motion,4,rh
0.12819966358427945,0.1051427420902272,gaze,4,rh
-0.0067874223136980775,-0.017867867699654406,nonverb,4,rh
0.04448615728592383,0.025295299277871962,verb,4,rh
0.07819265138642599,0.04833948652018691,scene,4,rh
-0.005013042955624318,-0.02574881196006261,object,4,rh
0.13854567880225208,0.11094042948345155,person,4,rh
0.09665225606063449,0.06231193094812028,sociality,4,rh
0.15782029738293704,0.12588795204367542,transitivity,4,rh
